Artist(s),song,text,Length,emotion,Genre,Album,Release Date,Key,Tempo,Loudness (db),Time signature,Explicit,Popularity,Energy,Danceability,Positiveness,Speechiness,Liveness,Acousticness,Instrumentalness,Good for Party,Good for Work/Study,Good for Relaxation/Meditation,Good for Exercise,Good for Running,Good for Yoga/Stretching,Good for Driving,Good for Social Gatherings,Good for Morning Routine,Similar Artist 1,Similar Song 1,Similarity Score 1,Similar Artist 2,Similar Song 2,Similarity Score 2,Similar Artist 3,Similar Song 3,Similarity Score 3
!!!,Even When the Waters Cold,"Friends told her she was better off at the bottom of a river Than in a bed with him He said ""Until you try both, you won't know what you like better Why don't we go for a swim?"" Well, friends told her this and friends told her that But friends don't choose what echoes in your head When she got bored with all the idle chit-and-chat Kept thinking 'bout what he said  I'll swim even when the water's cold That's the one thing that I know Even when the water's cold  She remembers it fondly, she doesn't remember it all But what she does, she sees clearly She lost his number, and he never called But all she really lost was an earring The other's in a box with others she has lost I wonder if she still hears me  I'll swim even when the water's cold That's the one thing that I know Even when the water's cold If you believe in love You know that sometimes it isn't Do you believe in love? Then save the bullshit questions Sometimes it is and sometimes it isn't Sometimes it's just how the light hits their eyes Do you believe in love?",03:47,sadness,hip hop,Thr!!!er,29th April 2013,D min,105,-6.85db,4/4,No,40,83,71,87,4,16,11,0,0,0,0,0,0,0,0,0,0,Corey Smith,If I Could Do It Again,0.9860607848219312,Toby Keith,Drinks After Work,0.9837194773786984,Space,Neighbourhood,0.9832363508466968
!!!,One Girl / One Boy,"Well I heard it, playing soft From a drunken bar's jukebox And for a moment I was lost In remembering, what I never forgot And I never felt guilt about The trouble that we got into I just couldn't let that honey hide inside of you And just because now it's different Doesn't change what it meant  And when I hear that song You know I'm only gonna Think about one girl I think about you When I sing this song You know I'm only gonna Sing it for one girl Ooh ooh ooh  Well I heard it, playing loud I never knew what it was about Till I fell silent in a crowd I just turned around and walked straight out 'Cause I guess I felt guilty About the trouble that I caused you Putting myself first, just like I always do But that doesn't change how I feel 'Cause when I hear it, it feels real And when I hear that song You know I'm only gonna Think about one boy I think about you And when I sing this song You know I'm only gonna Sing it for one boy Ooh ooh ooh  Well, I can't forget Things you said or your kisses And I keep your secrets Where I keep your promises But you need my confessions About as much as you need my lies And I guess it took that song to make me realize  [Instrumental Break]",04:03,sadness,hip hop,Thr!!!er,29th April 2013,A# min,117,-5.75db,4/4,No,42,85,70,87,4,32,0,0,0,0,0,0,0,0,0,0,0,Hiroyuki Sawano,BRE@TH//LESS,0.9954090051457944,When In Rome,Heaven Knows,0.990905244650666,Justice Crew,Everybody,0.984482557736008
!!!,Pardon My Freedom,"Oh my god, did I just say that out loud? Should've known this was the kind of place That that sort of thing just wasn't allowed Should've known by the color of the drapes (Oh, my bad, venetian blinds) What the hell was I thinking saying exactly what's on my mind? But I won't deny I got a dirty mouth My mother tried, my father tried, my teachers tried But they couldn't wash it out And look at me now up here running my mouth I just open it up and see what comes running out  Like I give a fuck, like I give a shit Like I give a fuck about that shit Like I give a fuck about that motherfucking shit  And you can tell the president to suck my fucking dick Does that sound intelligent? Like I give a fucking frick Tell the FBI put me on the list because Lennon wasn't this dangerous Call the Christians, tell them all that I'm taller than Jesus They tore down the parking lot and put in a parking lot and what do they got? And if you followed the plot then you know I'm not going to give it a second thought Yeah, let those pigs play because they'll all fucking pay Yeah, karma's a fact, that shit'll come back someday And I'll be like Like I give a fuck, like I give a shit like I give a shit about that fuck Like I give a fuck about that motherfucking shit",05:51,joy,hip hop,Louden Up Now,8th June 2004,A Maj,121,-6.06db,4/4,No,29,89,71,63,8,64,0,20,0,0,0,1,0,0,0,0,0,Ricky Dillard,More Abundantly Medley Live,0.9931760848028456,Juliet,Avalon,0.9651469454636374,The Jacksons,Lovely One,0.9567517825366731
!!!,Ooo,"[Verse 1] Remember when I called you on the telephone? You were so far away It was raining in New York, did I forget to say? It was later than I wanted it to be On an early summer's night The kind where you can't help but feel alive and free And I told you ""From here on out, it's just you and me""  [Chorus] Shouldn't we? Should we be? Should we be together for like ever, girl? Shouldn't we? Should we be? Should we be together for like ever, girl?  [Verse 2] We drove across the bridge and I knew that we'd be okay On an early summer's day No clouds up in the sky, did I forget to say? You'd been up all night before I'd barely slept at all It's the kind of thing that's sure to make you feel so small And I asked you ""Do you remember that phone call?"" [Chorus] Shouldn't we? Should we be? Should we be together for like ever, girl? Shouldn't we? Should we be? Should we be together for like ever, girl?  [Bridge] Do you think we should be together? Forever and ever and ever and ever and ever Ever, ever, ever, ever Ever, ever, ever, ever, ever  [Chorus] Should we be? Shouldn't we? Should we be? Should we be together for like ever, girl? (Should we be together?) (Should we be?) Shouldn't we? Should we be? Should we be together for like ever, girl? (Should we be together?) (Forever and ever)  [Outro] Don't you think we should be together? (Should we be together?) Forever and ever and ever, ever and ever (Forever and ever) Ever, ever Don't you think?",03:44,joy,hip hop,As If,16th October 2015,A min,122,-5.42db,4/4,No,24,84,78,97,4,12,12,0,0,0,0,1,0,0,0,0,0,Eric Clapton,Man Overboard,0.9927492490501512,Roxette,Don't Believe In Accidents,0.9914939607203932,Tiwa Savage,My Darlin,0.9903805989113864
!!!,Freedom 15,"[Verse 1] Calling me like I got something to say You thought wrong, but you do it anyway How's it been? Oh, not much, same for me, please go away I can put it on if that's what you want You'd like to get together, but I'd rather not Calls to mind a simpler time that who gave a shit forgot  [Pre-Chorus] Used to have something to prove Now it's something to hide And everyone assumes It's probably best not to pry And anyway, you're probably fine Now that you got what you wanted Now that you've got your freedom Now that you've got your freedom  [Chorus] Your freedom How's that working for you, baby? Your freedom How's that working for you, baby? Your freedom How's that working for you? [Verse 2] Who was it then? Who was it that I knew? Was it you who I knew then? Or is this the real you? No offense, but whoever this person is I don't have much interest in  [Pre-Chorus] Remembered more by some ill-advised tattoo Used to have a couple, now you've got a few If I know you, and I think I do You forgot it by the time the ink was blue And it won't be true 'til you've found your freedom  [Chorus] Your freedom How's that working for you, baby? Your freedom How's that working for you, baby? Your freedom How's that working for you? How's that working for you, baby? How's that working for you, child?  [Verse 3] Used to have something to prove Now you got something to hide And everyone assumes It's probably best not to pry [Bridge] Well, how's that working for you, baby? How is that working for you, child? Well, how's that working for you, baby? How is that working for you? Well, how's that working for you, babe? How is that working for you, child? How's that working for you, baby? How is that working for you, child? Child Child (Freedom, baby) Child Child  [Outro] Did you figure it out? Did you figure it out? Did you figure it out? Did you figure it out, who the song is about? Did you figure it out? Did you figure it out? Did you figure it out? Did you figure it out, who the song is about? How's it working for you, baby? How's it working for you? How's it working for you, baby? How's it working for, working for you? Did you figure it out? Did you figure it out? How's it working for you, baby? How's it working for you? How's it working for you, baby? How's it working for, working for you? Did you figure it out? Did you figure it out? How's it working for you? How's it working for you? How's it working for you? Don't figure it out, don't figure it out How's it working for you? How's it working for you? How's it working for you? Did you figure it out? Did you figure it out? Did you figure it out? Did you figure it out? Don't figure it out, don't figure it out",06:00,joy,hip hop,As If,16th October 2015,F min,123,-5.57db,4/4,No,30,71,77,70,7,10,4,1,0,0,0,1,0,0,0,0,0,Cibo Matto,Lint Of Love,0.9816095587586924,Barrington Levy,Better Than Gold,0.9815243376825868,Freestyle,Its Automatic,0.9814147734456016
!!!,All U Writers,"All you writers Get out your pens and write All you writers Get out your pencils and write All you writers Get out your pens and write All you writers Get out your pencils Yeah, all you writers All you writers Yeah, all you writers Get on your horses and ride All you writers  We were hanging out one night inside a bathroom stall She said her favorite Beatles song was ""Wonderwall"" I started to believe it wasn't meant to be When she told me that her favorite one was always Paul  I knew I shouldn't have kissed him in his Chevrolet ""Hot for Teacher"" came on, it was getting late I was about to reach between and ease the seat Until he said he liked them more when they had Sammy Hay Tied to the back of a dog-end day Go all night, go all night long Tied to the back of a dog-end day Go all night, go all night long, night long Tied to the back of a dog-end day Go all night, go all night long Tied to the back of a dog-end day Go all night, go all night long, night long  Tied to the back of a dog-end day Go all night, go all night long, night long (Tied to the back of a dog-end day)  I knew I shouldn't have kissed him I knew (Tied to the back of a dog-end day) (Go all night, go all night long) I knew, I knew I knew, I knew, I knew, I knew, I knew Tied to the back of a dog-end day Go all night, go all night long, night long  I knew I shouldn't have kissed him in his Chevrolet (Go all night, go all night long) ""Hot for Teacher"" came on, it was getting late (Go all night, go all night long, night long) I was about to reach between and ease the seat Until he said he liked them more when they had Sammy Hay Tied to the back of a dog-end day Go all night, go all night long, night long I knew I shouldn't have kissed him I knew (Go all night, go all night long, night long)  Tied to the back of a dog-end",05:22,love,hip hop,All U Writers / Gonna Guetta Stomp,27th April 2015,B min,122,-7db,4/4,No,26,81,87,74,4,7,0,47,0,0,0,1,0,0,0,0,0,Wish & Fonda Rae,Touch Me All Night Long,0.980839464017815,Gary Numan,War Songs,0.9805274336098576,Little Dragon,Forever,0.980209366617043
!!!,Serbia Drums,"[Verse 1] We've known working in obscurity and we'll know it again We know that they're almost done with what they need from us We know that the only way they'll be back is sometime if and when They know we have something they can sell and turn to dust And turn to dust And turn to dust  [Chorus] If you would've told me how things are I would've thought that we had won If you would've told me how things are I wonder how it happened Looking out that night from Dolores Park You'd think it all turned out to be Like we plotted and schemed Why does it feel empty anyway?  [Verse 2] We wrote every single note and chord of every single song Lived through every stupid argument about bein' legit About bein' legit About bein' legit [Chorus] If you would've told me how things are I would've thought that we had won If you would've told me how things are I wonder how it happened Looking out that night from Dolores Park You'd think it all turned out to be Like we plotted and schemed Why does it feel empty anyway?  [Bridge] Infidels, liars and believers Know-it-alls, ingénues and dreamers CEOs, goons, overachievers Future shock something like a fever Something like a fever Something like a fever Something like a fever Something like a fever  [Chorus] If you would've told me how things are I would've thought that we had won If you would've told me how things are I wonder how it happened Looking out that night from Dolores Park You'd think it all turned out to be Like we plotted and schemed Why does it feel empty anyway? [Outro] If you would've told me how things are If you would've told me how things are If you would've told me how things are",03:39,sadness,hip hop,Wallop,30th August 2019,E min,104,-6.86db,4/4,No,17,89,68,65,8,9,0,0,0,0,0,0,0,0,0,0,0,Talking Heads,Ruby Dear,0.980781483421898,Hanson,Something Going Round,0.9792052368178344,"Hoodie Allen,Jared Evan",Same As Before,0.97897674401501
!!!,Must Be the Moon,"One drink, two drinks, three drinks, four She had eyes that I couldn't ignore Chatted her up out on the dance floor She was out of cigarettes so I walked her to the store  Skirt pulled up, pushed up against the wall But she pauses just the take a call Joanne says ""girl, what the fuck are you doing? All these boys are gonna be your ruin""  Now I can't help but overhear As I'm kissing from her neck to her ear Well, if any of them meant it I'd mean it back It never meant anything but a case of the clap Girl please let me call you back Why? 'Cause it's all beginning to sound like a rap  Sometimes it's just one of those nights Ain't you never had it happen to you? Then you go home too soon, go home too soon You could blame it on the music But it wouldn't be right 'Cause I've gotten lucky to some pretty bad tunes  Must be the moon Must be the moon  Kissing in the cab on the way back 'cross the bridge She said ""love is love but a fuck is what it is"" ""And what's that?"" She must have read my mind 'Cause she looked into my eyes and she said ""a good time"" She kissed me on the stairs and she kissed me on the porch She kissed me as I fumbled with the key in the front door One time, two times, three times, four But really, who was keeping score? We did it on the bed and we did it on the floor But I was surprised when I got the cold shoulder (The next morning) She said ""you just got me hot, I finished off while you were snoring""",05:57,joy,hip hop,Myth Takes,5th March 2007,G Maj,120,-5db,4/4,No,27,88,77,95,5,34,0,4,0,0,0,0,0,0,0,0,0,"Crystal Waters,Steve ""Silk"" Hurley",Makin Happy,0.9850454170135444,Marvin Gaye,Sanctified Lady,0.9741693906917755,Ready For The World,Digital Display,0.9735083603860392
!!!,Slyd,"No, that's weird  Slyd, slyd, slyd, you like the inside Slyd, slyd, slyd, you like the inside Slyd, slyd, slyd, you like the inside I don't really like you but I like you on the inside  Ain't it funny Ain't it funny Ain't it funny Ain't it funny Ain't it funny (Yeah, that's good) Ain't it funny  Let's go somewhere we can be alone Let's go somewhere and be alone Let's go somewhere we can be alone Let's go somewhere and be alone Let's go somewhere we can be alone Let's go somewhere and be alone Let's go somewhere we can- Yeah, that's good And it's a natural fact And it's a natural fact And it's a natural And it's a natural And it's a natural fact  My, my mind is on the inside My, my mind is on the inside My, my mind is on the inside I don't really like you but I like you on the inside  Won't you get down, won't you get down Won't you get down, down on the ground Won't you get down, won't you get down Won't you get down, down on the ground  Ain't it funny Ain't it funny Ain't it funny Ain't it funny Ain't it  Get off of yourself and uhm You go get in love this time You go get in love this time At the REC-Enter You go get around You go around this time At the REC-Enter You go get around You go around this time You go get around You go get around You go get around this",04:14,surprise,hip hop,Thr!!!er,29th April 2013,C Maj,120,-8.73db,4/4,No,33,72,86,58,10,22,6,24,0,0,0,0,0,0,0,0,0,"Moon Boots,Fiora",I Want Your Attention,0.9929397286564682,"Rhombus,Tiki Taane,MC Antsman,Imon Starr",Seen It All Beast Mix,0.9912431416163532,"Craig Reever,Easton",Special about You,0.9896232299430644
!!!,Hello? Is This Thing On?,"Sometimes you don't say nothing 'cause you got nothing to say And sometimes you tell it all 'cause no one's listening anyway And you don't know for certain but you think you might be a bore Don't wanna be nobody's burden so you just hit the dance floor  'Cause the opportunities presented stop you dead, stuttering on the sentences Small talk's asking questions that no one cares about what the answer is  Watching others' conversation from your place against the wall You'd have something worth saying if you could only find a place in the bathroom stall But remember when you come out don't you dare look inside the bathroom mirror What is it what was it and does it even matter anymore?  Hey, am I making any sense at all? Does anyone here speak English? 'Cause everybody's acting like I'm crazy Hey, am I making any sense at all? Is this thing on? Is this thing on?  And I must confess or maybe you've already guessed The you is me, I made up the rest And I must confess or maybe you've already guessed The you is me, I made up the rest (Shh) The voices in my head go ""Doo-doo, doo-doo, doo-doo, do, do, do, do"" (Shh) The voices in my head go ""Doo-doo, doo-doo, doo-doo, do, do, do, do""  (Repeats) And don't you know sometimes I could just kill for a good conversation Hey, am I making any sense at all? Does anybody here speak English? 'Cause everybody's acting like I'm crazy",07:33,sadness,hip hop,Louden Up Now,8th June 2004,G Maj,124,-8.24db,4/4,No,21,68,77,67,4,10,5,0,0,0,0,1,0,0,0,0,1,Midnight Star,Operator,0.9855979608591318,"Boris Dlugosch,Róisín Murphy,Ricky Mattioli",Never Enough,0.979074578097153,YACHT,Miles  Miles,0.9787978887211672
